Time,X,Y,Heading,ProjectedX,ProjectedY,TurretTarget,TurretActual,ShooterTarget,ShooterActual,ShooterPower,TOF
1788791014850,6.600016195943037,11.700022539754553,2.851302269846201E-6,4.561645353992555,11.700238774611353,43.54772059212763,43.53964582942473,1837.2502530677057,280.0,1.0,0.9022990476412847
1788791015141,6.599826962929073,11.702695831539124,3.944304771721363E-4,4.55154017537669,11.687339443760962,43.43210246597612,43.543429323775435,1837.3199946053433,680.0,1.0,0.9022993203120094
1788791015419,6.6550241305133495,11.67087584968627,-0.004830199293792248,5.020423243950537,12.275532632042788,44.6174645014828,44.56441946932685,1839.7194678678768,1020.0,1.0,0.9022641222435591
1788791015668,6.60285228819359,11.702955351101131,1.8131121760234237E-4,4.661925747573703,11.847913430554387,43.68018868354511,43.56428444353439,1837.2505367656813,1240.0,1.0,0.9022615868733379
1788791015927,6.602992861289678,11.699229563315082,-6.543342606164515E-4,4.609689809892472,11.767774268243596,43.45962932637361,43.386039985730804,1837.3117935054215,1500.0,1.0,0.9022950856313223
1788791016196,6.602191474494033,11.700972910002461,-3.9741015643812716E-4,4.552701059158751,11.685452930092389,43.71147787308911,43.779027137025814,1837.1631100691027,1660.0,1.0,0.9022907800708988
1788791016451,6.603321465920276,11.702644167922614,-1.509949070168659E-4,4.511312180361133,11.623281269868016,43.7707341199266,43.49751441581954,1837.1270793668887,1800.0,0.8056544935690089,0.9022906944042701
1788791016726,6.603461438276637,11.702832800196852,-1.2140357284806669E-4,4.6603220688180915,11.844883098473455,43.460781840550766,43.60639267850182,1837.3174932941022,1860.0,0.7455582438640287,0.9022924569899443
1788791017010,6.602000439260888,11.700636495755413,-4.4259519199840724E-4,4.47628584861845,11.571810183820467,43.39573539113215,43.508051813743805,1837.355625678446,1860.0,0.7456385873273118,0.9022921379399771
1788791017267,6.601844847671629,11.70039139394685,-4.7838676255196333E-4,4.554616114230784,11.688255116265989,43.3315961319375,43.46137488547664,1837.3933272839613,1880.0,0.7256867448472553,0.9022918905776114
1788791017543,6.60280062457708,11.701804333784448,-2.71092721959576E-4,4.437726929838767,11.514044652320425,43.690121120241656,43.59934666421074,1837.1777275401719,1860.0,0.7455638412164507,0.9022914949972451
1788791017807,6.60273334172767,11.701688991756889,-2.8660858515650034E-4,4.568704998077186,11.708833752877242,43.72549801583616,43.276306477382064,1837.159708310092,1880.0,0.7258320313842189,0.9022930503824402
1788791018070,6.600788747231792,11.698777807040479,-7.137653883546591E-4,4.420359433562876,11.48921700983564,43.66648882282934,43.49659027624104,1837.1998168976704,1860.0,0.7456631372720174,0.9022950887286516
1788791018319,6.600353811669538,11.698119396299829,-8.095953962765634E-4,4.464511545415744,11.555120951120001,43.30890072316914,43.769391280612965,1837.4220786208814,1860.0,0.7454468852131588,0.9022988071663552
1788791018603,6.600854227862021,11.698851097287157,-7.019070326350629E-4,4.415676804167264,11.482191020623794,43.71204488336387,43.57202677951161,1837.177609189152,1860.0,0.7456062207105401,0.9022975246047082
1788791018865,6.601518045260212,11.69980987789124,-5.589484353549778E-4,4.487857576971773,11.589207782824692,43.66544856617492,43.39221450508077,1837.1968970216806,1860.0,0.745742484811067,0.9022933677506793
1788791019130,6.601527657095842,11.699814683809056,-5.582150188274682E-4,4.6508088386023285,11.831490069162207,43.45472905379817,43.75009974850064,1837.327295296516,1860.0,0.7454495268199388,0.9022951700012025
1788791019386,6.600932924766241,11.69891597717766,-6.900213193148375E-4,4.641406066099501,11.817731658526082,43.74958453613267,43.55286627565841,1837.152596434841,1880.0,0.7256240690695935,0.9022964066335946
1788791019661,6.601388886218935,11.69662355437992,-0.0010125639382749796,4.359631087640114,11.396733298429417,44.49344429153757,44.33073825991801,1838.8596973755073,1860.0,0.7477170364461942,0.9023168151763821
1788791019941,6.591227373738928,11.705025500199927,2.254391583846882E-4,4.022357909158509,11.934769700000405,43.65036221072081,43.919120579650645,1837.2177045886156,1860.0,0.7472621493080853,0.9023002164804298
1788791020214,7.290253526582492,12.705896332507999,0.03303717449307442,12.540270763942218,21.61376484609815,40.70486554264488,40.70344465363115,1845.4730887565347,1840.0,0.7732723258969461,0.9008363028263526
1788791020485,10.862980639840675,17.127060777559056,0.035074859857559204,22.533812787570785,33.28219285573144,40.223377420664065,40.51491418197196,1843.9559704768508,1840.0,0.7790071583779138,0.8898885362213904
1788791020762,17.16538917361282,21.770310289277806,0.3096019923686981,35.249439681537964,32.03217270733303,22.2,24.393920756299963,1900.8058636399553,1860.0,0.8218416860447396,0.8704947165427781
1788791021024,25.606917734221213,26.497850793553148,0.6191455125808716,49.482560316541935,40.41404214858561,22.2,10.820299124108942,1866.6542879608726,1900.0,0.7447017081327759,0.8432724523898543
1788791021322,38.25069878045029,34.220417653481796,0.6440972685813904,62.17941776786648,48.185326735818855,22.2,14.166092697666386,1769.5903880211413,1800.0,0.7280082574836114,0.7943602443902019
1788791021581,51.593647153358766,40.92877245324803,0.5746468305587769,73.12123439918602,49.18332299279433,26.141987261842246,23.02483425641873,1743.0322196343475,1760.0,0.715608365279981,0.7038290053706799
1788791021826,62.223376176488685,43.25520192544292,0.019270386546850204,83.72961656454467,44.11030636654058,67.00543261378664,62.7914567960151,1761.7209594674994,1780.0,0.71387657392349,0.6145887033329535
1788791022090,75.02191979115403,41.39019823449804,-0.21672457456588745,110.4539351645442,34.34872393460573,83.95736959968714,81.50800832226726,1807.5287355485543,1780.0,0.7921353648453192,0.6222070136476041
1788791022351,88.64771084522638,39.19866847241019,-0.21174481511116028,126.06929231784181,31.46202806436088,93.11187069400864,90.17495331815522,1761.2467319195093,1800.0,0.7000467934539587,0.6680999061602243
1788791022645,105.79774390994095,34.24908495324803,-0.19461184740066528,143.0748159668463,21.928279081963318,100.32298257160936,100.37356473918247,1757.9750128383546,1820.0,0.6807602583026605,0.7515240634377706
1788791022923,121.01108821358268,29.17314664585384,-0.17284849286079407,160.56218448316733,17.98017463126662,91.5538909974038,92.8263064623915,1738.3391266204378,1800.0,0.673932242060802,0.7433886108081869
1788791023182,128.98307740218996,26.65449007289616,-0.039187535643577576,115.21988677646347,24.359471012423622,85.76849921465285,87.81695567161681,1782.4783034029758,1780.0,0.6850354251153496,0.7165732225446939
1788791023462,121.7947892316683,26.12478421429011,-0.0067846206948161125,92.07637495173859,22.887340973571806,70.79634810409779,72.67443630770464,1879.9457758120013,1760.0,1.0,0.7295217366826314
1788791023720,111.6202863558071,22.77721254844365,-0.011551485396921635,89.36576782048506,5.797327382291311,69.29599945994839,67.31620424017262,1973.3993380699314,1840.0,1.0,0.7555393447179132
1788791023990,106.6729399913878,15.786580964336245,-0.006449968554079533,89.02560160280379,-5.26318210160882,71.9298462815705,72.30153860443578,1925.9421712755409,1900.0,0.8279951413555898,0.7645876867148633
1788791024268,97.12064007135827,10.356621929979699,0.016701001673936844,61.41773567977506,6.807385117047476,60.499854165659656,62.40810991253579,1963.3372171173692,1920.0,0.8498266007109213,0.763844702111237
1788791024546,82.85988634965553,10.565823532464936,-0.01393111702054739,33.65019356526002,11.296366362672659,54.454478400439584,54.70511062127782,1961.9330580459834,1880.0,0.890289965339726,0.7604368515173319
1788791024822,65.80402524452509,11.036422609344243,0.005599457770586014,9.792508297992107,11.197114678984704,45.33451535262759,46.995059298421666,1846.1722985847236,1760.0,0.8755745874041472,0.7735040392690049
1788791025102,47.85498431348426,11.162964828371063,0.023605292662978172,-13.016240960385254,13.135290453822007,40.23742838338865,41.04085305207127,1813.6219104533618,1820.0,0.7533925904882649,0.8182333844520308
1788791025346,30.346619613527313,11.479284331554503,0.017616452649235725,-20.749515433170632,12.417202006521753,37.654263022287466,36.6282404331821,1792.8348827007208,1840.0,0.7006096392713238,0.8587990833938617
1788791025601,22.060674231822098,11.629081185408467,0.003774487180635333,9.210620590207158,11.953432735164808,43.15079910348743,42.74287036417104,1833.2902769225452,1880.0,0.7109775317027285,0.8737276631769703
1788791025868,21.247945470134106,12.86055076779343,0.013071517460048199,24.3011702915905,22.291334761876293,44.3729668937529,44.59431773096799,1877.9700673805519,1860.0,0.7972271908357333,0.8755104153233912
1788791026146,25.405232587198572,17.198701392947218,0.02006162516772747,39.515915282976735,30.17937959470478,46.32934475190734,45.98677771874907,1931.5384014244726,1860.0,0.8642128194303231,0.8604013515362331
1788791026402,32.271012433870574,21.760455754798226,0.03897954523563385,53.7061800810754,34.56431303539773,48.17791520361686,47.408846140651406,1911.0056077038337,1920.0,0.8005030487584361,0.8363657827632671
1788791026650,41.43247108759843,25.716197096456696,0.06563971936702728,71.11483976152323,32.814333964707174,52.67541242380912,50.957370777171946,1891.5926013648316,1920.0,0.7335379630229177,0.806379711913269
1788791026924,54.189159964013285,28.407304418368604,0.17609547078609467,83.02643816047048,38.19787980411648,48.29727360992183,53.29817245784085,1821.0600105837107,1940.0,0.0,0.7827186549925043
1788791027195,64.61878018116388,33.86613260103962,0.5552835464477539,84.01504737475913,46.583061542641616,26.962597399996014,25.47982187745413,1759.1434934887436,1800.0,0.7114197206785351,0.7627979761766029
