Time,X,Y,Heading,ProjectedX,ProjectedY,TurretTarget,TurretActual,ShooterTarget,ShooterActual,ShooterPower
1789918423479,71.99911282757135,72.00061227392962,1.5709291696548462,71.99616588332803,69.96426634550649,316.76990876935344,316.6807869063989,1699.9994354035155,260.0,1.0
1789918423724,72.00068436269686,72.0041686531127,1.5704092979431152,71.99913529349416,69.96599072801907,316.8588359652626,316.6897436657106,1699.9984987505566,560.0,1.0
1789918423983,72.00181855930119,71.99086106668308,1.5705317258834839,71.99892840527677,69.95259694537678,316.6184874159866,316.7807676859661,1699.9991343886768,820.0,1.0
1789918424271,71.99405219611221,72.05254502183809,1.5667154788970947,71.98072839634135,69.72277851477757,315.83267860069765,316.62479721991775,1699.9614450846477,1020.0,1.0
1789918424536,72.1115232452633,72.0339797613189,0.884040355682373,71.14885128479548,69.8676312204894,22.2,0.01700626774271541,1699.295317725011,1140.0,1.0
1789918424803,72.12380717119832,72.26513479638288,-0.015154778957366943,70.27368492913286,71.89748777935804,62.67275088834322,56.66304255866322,1697.3342125593674,1240.0,1.0
1789918425062,71.93133496862697,71.6684752937377,-0.6861243844032288,73.14863272094438,69.34550954897955,87.2267939220797,86.81618840486226,1699.1576575545012,1400.0,1.0
1789918425321,75.72452575203002,67.51246655081201,-0.7368348240852356,81.64998281975505,60.35512036709098,97.1679607405149,95.47707543469556,1676.311324509324,1440.0,1.0
1789918425585,82.56304402989666,59.59600013072097,-1.1058812141418457,88.64155129871959,51.470583881087165,130.5476397161523,126.47206704044689,1700.5095258224048,1460.0,1.0
1789918425834,87.52751868540847,52.349709338090555,-1.3106136322021484,93.63519721034025,41.739830986642204,142.78900861089602,142.65852178104626,1767.68517762636,1560.0,1.0
1789918426086,92.8799270269439,43.81586510365404,-1.313807487487793,95.34514293526107,39.888155201429065,142.82628429437926,143.26194456302548,1804.760105063864,1700.0,1.0
1789918426354,93.44912070927658,41.99138971764271,-1.3212559223175049,93.08040984255071,43.527390118555864,140.3271787147612,140.50506282296612,1772.874210381418,1780.0,0.7407513953632019
1789918426608,93.44864011749507,42.028159794844974,-1.3199982643127441,92.98528123511487,43.98733928879295,139.96881191532933,140.01879745583847,1764.9147728447979,1840.0,0.6618916920111979
1789918426868,93.44835176242619,42.023012656865156,-1.3202321529388428,92.892138341316,44.014297694592734,139.94720375724668,140.07323718142038,1762.258552144316,1800.0,0.7053065040994534
1789918427121,93.33231768270178,42.06890436608022,-1.5898751020431519,93.35233190623603,44.545613942698445,166.69243040084422,155.09569891543205,1761.054544346313,1800.0,0.7019326758827801
1789918427385,93.71019738865651,41.624683770607774,-2.4639649391174316,98.00232553021715,39.91920155440155,221.26290756396074,214.96725968903607,1782.2106126370193,1760.0,0.7568234140848806
1789918427648,97.09368848425197,37.156074103407974,-3.0288586616516113,102.62716222126373,30.440630417824856,253.33825384737827,247.4332247004523,1848.682614597003,1760.0,0.8546165463524231
1789918427919,97.70090658833662,32.312004509873276,2.923053026199341,99.32569406739333,27.98277243297059,265.2344294252979,266.4269642804925,1875.8173407930565,1800.0,0.8632186100876589
1789918428164,97.77876245693898,31.863975224532485,2.9110329151153564,99.48444483137148,31.238010009649074,263.30904034671,263.44348011606024,1860.031860282341,1860.0,0.7741532675947856
1789918428415,97.77792622723918,31.870047501691683,2.9119386672973633,99.72986910762815,31.374047233917416,263.3152581096167,263.2952384228225,1860.0419411797884,1900.0,0.7372345031578499
1789918428686,97.77367779589076,31.869134377306843,2.911921739578247,99.7442841577138,31.39171627499806,263.3242444393701,263.5019877987915,1859.9836555023537,1900.0,0.7364919269475119
1789918428945,97.76929479884352,31.865794264425446,2.9122562408447266,99.71816466081306,31.36993412426166,262.9566378278456,263.3123245116162,1860.9031583263275,1880.0,0.7572744714553423
1789918429208,97.78422197957678,31.879974124938485,2.9140961170196533,99.84544242314144,31.488083984335038,263.0536160512613,262.88602713559476,1858.9277479982088,1760.0,0.8785724642148784
1789918429489,97.77931994340551,31.873815341258613,2.9122331142425537,100.03146821293255,31.337611843297356,263.3145910668724,263.1818876166453,1859.8181810480185,1820.0,0.8172395182799641
1789918429769,97.78006005474901,31.87220776174951,2.9124393463134766,99.83291356579332,31.474576249453005,263.5414702967903,263.5385421758664,1859.3391118226218,1880.0,0.7561859412959853
1789918430037,97.77965635765256,31.871878556379183,2.9125006198883057,99.87689279592342,31.513432814928404,263.3523871393452,263.18432737403674,1859.80948876832,1900.0,0.7373796488998947
1789918430282,97.77966596948819,31.871823288324315,2.912510633468628,99.81624163092589,31.456624372367163,263.4614300482507,263.5616924142902,1859.556215926691,1880.0,0.7560963236296082
1789918430566,97.77592696542814,31.869062288539617,2.91274094581604,100.01627920385893,31.307915045597852,263.09594592480585,263.28631370014665,1860.4635148832776,1860.0,0.7770683599136423
1789918430844,97.77498500553641,31.87802532526452,2.9129436016082764,99.71627874078506,31.37528556264419,263.0446840602161,263.12338447447036,1858.7867306379278,1760.0,0.8753483153355476
1789918431132,97.77976208784449,31.86522716612328,2.915205717086792,99.87517293609606,31.5148601288722,262.87742939524895,263.26062300545675,1860.8783935044305,1840.0,0.7969782142249515
1789918431389,97.77320681594489,31.87032624492495,2.9129488468170166,99.67143919301996,31.323888383902602,263.22588904831713,263.60027698588016,1860.1833110750981,1880.0,0.7555493095063811
1789918431663,97.77630182701772,31.87023252952756,2.91314959526062,99.8628731075421,31.500570170569244,263.544544099323,262.97171330519626,1859.25108657289,1900.0,0.7379978095180203
1789918431926,97.77697465551181,31.86861293522392,2.9133548736572266,99.70521797208318,31.35360443757663,262.98046269374726,263.60236027290586,1860.6215268120527,1900.0,0.7358926926255482
1789918432194,97.77937761441929,31.87234713336614,2.9130313396453857,99.77416272943881,31.419378760366452,262.9779501861149,263.38973515183164,1860.6450128549961,1900.0,0.736553875704206
1789918432463,97.68786332738682,31.72426479069267,-2.7727622985839844,99.12349824356598,31.695701621127796,213.4494868848637,219.86022846593204,1857.2405693984604,1840.0,0.7958852840899936
1789918432713,98.01149383304627,31.562665804164617,-1.5660265684127808,99.00784841605271,34.120002032926884,137.11425147262185,147.45682205706134,1843.9136071288806,1840.0,0.782036163479843
1789918432984,98.30394354392224,31.929763433501478,-0.8408900499343872,96.98535353984383,33.72835921070435,115.87622779522725,114.31453909551055,1847.0280765746545,1880.0,0.7389593189813839
1789918433256,98.03752268393208,31.87426950049213,-1.4026132822036743,97.27478378727642,33.50313923056761,164.7050955058719,156.2530479828143,1846.8716137302433,1860.0,0.7574041520703648
1789918433537,96.9005386472687,31.34176179179995,-2.413440227508545,92.28268279749801,28.8125813994701,215.7444477005671,213.0809155971678,1859.8090633143972,1860.0,0.7753883302280316
1789918433813,90.31511441929133,27.667092150590552,-2.7123918533325195,82.49712298079983,25.19333782273832,226.62721754731086,222.6084133200988,1939.0665844210512,1880.0,0.850743407656078
1789918434142,81.36650505967027,26.127667764979083,-3.1051647663116455,71.10057592606965,24.027586422885534,240.51807815282586,239.3018088062551,2057.036022338349,1900.0,1.0
1789918434389,70.8829528328002,23.788235882135826,-3.1370439529418945,65.39945538295453,22.34866918279811,236.4566973150812,237.49164055310314,2012.4109297605655,1940.0,0.9305980765532331
1789918434670,68.36532953217274,23.707722340981793,3.1354119777679443,69.77524175726609,23.73939319542709,239.09015873572676,239.22699095465583,2072.547738601629,1980.0,0.9469976545492718
1789918434939,68.30936942513533,23.70228444497416,3.1342315673828125,70.37122056923225,23.731129727994578,239.8029121771,239.6521098999621,2087.671994452466,1920.0,1.0
1789918435200,68.30646184485728,23.700909952479083,3.1344356536865234,70.35355450797361,23.704896379302955,239.63637130776408,239.59334177083295,2085.5692689113785,1980.0,1.0
1789918435476,68.30316979115403,23.701950433686026,3.1342854499816895,70.4073848161789,23.783813456195755,239.62402217659385,239.58524982119795,2082.872417518634,2040.0,0.9096435156893368
1789918435757,68.30273245263288,23.698394054502955,3.134808301925659,70.38716515005635,23.751933346622806,240.033631617148,239.898692712395,2085.000717109133,2080.0,0.8690160926207793
1789918436006,68.29992579662894,23.697211798720474,3.1349878311157227,70.43185147226232,23.82049988737911,239.88724527060504,240.09437867284123,2085.2296209104184,2100.0,0.848564549838765
1789918436288,68.30038716473918,23.798633485328498,2.9604709148406982,69.58476948220364,23.833560926252794,257.4773015007027,244.71828228173524,2087.1167010929066,2100.0,0.8413806633849295
1789918436535,68.51438507320374,23.731035848302167,2.057117223739624,68.87794980813737,22.47407202040825,318.18820561698385,308.4274188545319,2087.2710885552515,2060.0,0.9003388016213816
1789918436793,69.00157537985974,24.609430268054872,1.1025804281234741,71.01364421677818,26.87648255509704,22.2,2.8204602258599607,2060.394055385543,2040.0,0.8903124490302429
1789918437069,72.98932413416586,30.062998373677413,0.8160250782966614,79.16872323256304,35.51812028709615,22.2,15.444983775705225,1868.206736802316,1900.0,0.7590648241640603
