Time, ShooterVelocity, Position X, Position Y,
56,0.0,8.5,10.3
97,0.0,8.5,10.3
144,0.0,8.5,10.2
203,40.0,8.5,10.3
236,100.0,8.5,10.3
269,160.0,8.5,10.3
302,200.0,8.5,10.3
336,260.0,8.5,10.2
374,300.0,8.5,10.2
404,360.0,8.5,10.3
438,420.0,8.5,10.3
468,460.0,8.5,10.3
499,500.0,8.5,10.3
527,540.0,8.5,10.2
573,580.0,8.5,10.3
609,660.0,8.5,10.2
645,700.0,8.5,10.3
679,740.0,8.5,10.3
733,800.0,8.5,10.3
763,820.0,8.5,10.3
793,880.0,8.5,10.3
823,900.0,8.5,10.3
853,920.0,8.5,10.3
883,960.0,8.5,10.3
918,1000.0,8.5,10.3
953,1040.0,8.5,10.3
986,1060.0,8.5,10.3
1017,1120.0,8.5,10.3
1047,1140.0,8.5,10.3
1089,1160.0,8.5,10.3
1120,1200.0,8.5,10.3
1153,1220.0,8.5,10.3
1195,1260.0,8.5,10.3
1250,1320.0,8.5,10.3
1282,1340.0,8.5,10.3
1312,1360.0,8.5,10.3
1343,1400.0,8.5,10.3
1372,1400.0,8.5,10.3
1402,1420.0,8.5,10.3
1435,1460.0,8.5,10.3
1470,1480.0,8.5,10.2
1501,1520.0,8.5,10.2
1533,1520.0,8.5,10.3
1568,1540.0,8.5,10.2
1611,1560.0,8.5,10.2
1646,1600.0,8.5,10.2
1679,1620.0,8.5,10.2
1711,1620.0,8.5,10.2
1767,1660.0,8.5,10.2
1797,1680.0,8.5,10.2
1827,1700.0,8.5,10.2
1857,1700.0,8.5,10.2
1885,1720.0,8.5,10.2
1914,1740.0,8.5,10.2
1945,1740.0,8.5,10.2
1972,1780.0,8.5,10.2
2000,1780.0,8.5,10.2
2038,1800.0,8.5,10.2
2067,1800.0,8.5,10.2
2100,1820.0,8.5,10.2
2144,1840.0,8.5,10.2
2177,1840.0,8.5,10.2
2210,1840.0,8.5,10.2
2242,1860.0,8.5,10.2
2299,1880.0,8.5,10.2
2328,1880.0,8.5,10.2
2358,1880.0,8.5,10.2
2389,1880.0,8.5,10.2
2419,1880.0,8.5,10.2
2453,1900.0,8.5,10.2
2482,1900.0,8.5,10.2
2511,1900.0,8.5,10.2
2540,1900.0,8.5,10.2
2573,1900.0,8.5,10.2
2602,1900.0,8.5,10.2
2634,1880.0,8.5,10.2
2674,1920.0,8.5,10.2
